Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days
1997-07-03,7.03125,7.125,7.0,7.0,7.0,34000,VSAT,1.3125,1.6964285714285714,0.9196428571428571
1997-07-07,7.0,7.125,7.0,7.09375,7.09375,79600,VSAT,1.3480176211453745,1.6299559471365639,0.9955947136563876
1997-07-08,7.0,7.09375,7.0,7.09375,7.09375,149200,VSAT,1.3392070484581498,1.6387665198237886,0.9779735682819384
1997-07-09,7.125,7.125,5.5,6.125,6.125,1110400,VSAT,1.4795918367346939,1.8571428571428572,1.1224489795918366
1997-07-10,6.125,6.8125,6.0,6.75,6.75,460400,VSAT,1.3055555555555556,1.7222222222222223,1.0277777777777777
1997-07-11,7.0625,7.25,6.8125,7.0625,7.0625,218400,VSAT,1.2123893805309736,1.6371681415929205,1.0486725663716814
1997-07-14,7.125,7.125,6.75,7.0625,7.0625,135000,VSAT,1.2920353982300885,1.6283185840707965,1.0884955752212389
1997-07-15,7.0625,7.0625,6.9375,7.0625,7.0625,79400,VSAT,1.2212389380530972,1.5486725663716814,1.0486725663716814
1997-07-16,6.9375,7.1875,6.9375,7.125,7.125,110200,VSAT,1.2280701754385965,1.5263157894736843,1.0526315789473684
1997-07-17,7.0625,7.125,6.9375,7.125,7.125,59000,VSAT,1.263157894736842,1.5175438596491229,1.0526315789473684
1997-07-18,7.0625,7.125,6.9375,6.9375,6.9375,15600,VSAT,1.3063063063063063,1.6036036036036037,1.0855855855855856
1997-07-21,7.125,7.125,6.9375,6.9375,6.9375,34600,VSAT,1.3063063063063063,1.5945945945945945,1.072072072072072
1997-07-22,7.0,7.5625,6.9375,7.5,7.5,361400,VSAT,1.2666666666666666,1.4333333333333333,0.9833333333333333
1997-07-23,7.5625,7.5625,7.1875,7.25,7.25,40200,VSAT,1.3103448275862069,1.4137931034482758,1.0344827586206897
1997-07-24,7.1875,7.5625,7.1875,7.5,7.5,107000,VSAT,1.225,1.1416666666666666,1.0166666666666666
1997-07-25,7.5,7.625,7.3125,7.5625,7.5625,228400,VSAT,1.1818181818181819,1.2458677685950412,1.0041322314049588
1997-07-28,7.75,8.6875,7.5,8.375,8.375,175600,VSAT,1.1194029850746268,1.1082089552238805,0.9552238805970149
1997-07-29,8.375,9.125,8.375,8.875,8.875,361200,VSAT,1.0070422535211268,1.0070422535211268,0.8908450704225352
1997-07-30,9.25,9.25,8.75,9.0625,9.0625,382600,VSAT,0.9793103448275862,1.013793103448276,0.8689655172413793
1997-07-31,9.25,9.25,8.875,9.25,9.25,271600,VSAT,0.972972972972973,0.9864864864864865,0.831081081081081
1997-08-01,9.1875,9.1875,8.8125,8.8125,8.8125,159400,VSAT,1.0425531914893618,1.0212765957446808,0.9184397163120568
1997-08-04,8.8125,9.125,8.8125,9.0,9.0,66600,VSAT,1.0138888888888888,1.0,0.8958333333333334
1997-08-05,9.125,9.25,8.8125,9.1875,9.1875,246000,VSAT,0.9931972789115646,0.9693877551020408,0.8775510204081632
1997-08-06,9.3125,9.75,9.25,9.5625,9.5625,119800,VSAT,0.954248366013072,0.8954248366013072,0.8431372549019608
1997-08-07,9.75,9.75,9.4375,9.5,9.5,51400,VSAT,0.9736842105263158,0.8881578947368421,0.819078947368421
1997-08-08,9.3125,9.5625,8.3125,9.0625,9.0625,254200,VSAT,0.9793103448275862,0.9793103448275862,0.8551724137931035
1997-08-11,9.0625,9.0625,8.5,8.8125,8.8125,45200,VSAT,1.0425531914893618,0.9609929078014184,0.8475177304964538
1997-08-12,8.5,8.875,8.4375,8.5625,8.5625,57400,VSAT,1.2262773722627738,1.0072992700729928,0.9014598540145985
1997-08-13,8.625,9.25,8.375,9.125,9.125,254600,VSAT,1.226027397260274,0.9315068493150684,0.8356164383561644
1997-08-14,9.125,9.125,8.28125,8.625,8.625,77000,VSAT,1.1521739130434783,1.0,0.8623188405797102
1997-08-15,8.375,8.875,8.375,8.75,8.75,56800,VSAT,1.2,0.9714285714285714,0.9
1997-08-18,8.875,9.0625,8.6875,9.0,9.0,63600,VSAT,1.1423611111111112,0.9513888888888888,0.8958333333333334
1997-08-19,8.6875,9.0625,8.6875,9.0625,9.0625,17600,VSAT,1.1379310344827587,0.9241379310344827,0.9
1997-08-20,9.0625,9.125,8.9375,9.0625,9.0625,29200,VSAT,1.103448275862069,0.9103448275862069,0.9379310344827586
1997-08-21,8.875,10.0,8.875,9.5,9.5,108800,VSAT,1.105263157894737,0.8486842105263158,0.8848684210526315
1997-08-22,9.5,9.5,9.25,9.5,9.5,102800,VSAT,1.105263157894737,0.8421052631578947,0.9078947368421053
1997-08-25,9.4375,9.4375,9.1875,9.1875,9.1875,50000,VSAT,1.1360544217687074,0.8639455782312925,0.9149659863945578
1997-08-26,9.1875,9.4375,8.9375,8.9375,8.9375,155200,VSAT,1.1888111888111887,0.8601398601398601,0.958041958041958
1997-08-27,9.1875,9.375,9.0,9.375,9.375,240000,VSAT,1.1066666666666667,0.7933333333333333,0.94
1997-08-28,9.375,9.375,8.9375,8.9375,8.9375,39600,VSAT,1.1608391608391608,0.8391608391608392,0.951048951048951
1997-08-29,9.125,9.125,8.875,8.875,8.875,107200,VSAT,1.147887323943662,0.7746478873239436,0.971830985915493
1997-09-02,9.1875,9.1875,8.6875,9.0,9.0,158600,VSAT,1.1493055555555556,0.7673611111111112,0.9722222222222222
1997-09-03,9.0,9.3125,8.6875,9.1875,9.1875,222800,VSAT,1.2006802721088434,0.7653061224489796,0.9523809523809523
1997-09-04,9.375,9.4375,9.125,9.125,9.125,135400,VSAT,1.3082191780821917,0.8287671232876712,0.9315068493150684
1997-09-05,9.125,9.3125,9.125,9.125,9.125,32400,VSAT,1.3013698630136987,0.815068493150685,0.9178082191780822
