Date,Open,High,Low,Close,Adj Close,Volume,ticker
1993-12-10,5.296875,5.296875,5.1875,5.28125,1.5894386768341064,129600,ELS
1993-12-13,5.28125,5.28125,5.21875,5.21875,1.5706294775009155,43200,ELS
1993-12-14,5.21875,5.21875,5.171875,5.171875,1.5565217733383179,246400,ELS
1993-12-15,5.1875,5.234375,5.125,5.125,1.5424150228500366,716000,ELS
1993-12-16,5.140625,5.15625,5.125,5.15625,1.5518192052841187,876800,ELS
1993-12-17,5.109375,5.140625,5.09375,5.09375,1.5529626607894897,620800,ELS
1993-12-20,5.09375,5.09375,5.03125,5.09375,1.5529626607894897,220800,ELS
1993-12-21,5.0625,5.09375,5.03125,5.0625,1.5434355735778809,116000,ELS
1993-12-22,5.09375,5.125,5.09375,5.125,1.5624901056289673,176800,ELS
1993-12-23,5.125,5.203125,5.125,5.203125,1.5863088369369507,178400,ELS
1993-12-27,5.203125,5.34375,5.203125,5.328125,1.624418020248413,169600,ELS
1993-12-28,5.328125,5.328125,5.296875,5.296875,1.6148903369903564,94400,ELS
1993-12-29,5.25,5.296875,5.25,5.25,1.6005992889404297,112800,ELS
1993-12-30,5.21875,5.25,5.203125,5.25,1.6005992889404297,224800,ELS
1993-12-31,5.28125,5.375,5.265625,5.375,1.6387089490890503,33600,ELS
1994-01-03,5.34375,5.359375,5.3125,5.34375,1.62918221950531,21600,ELS
1994-01-04,5.359375,5.359375,5.25,5.28125,1.610127329826355,131200,ELS
1994-01-05,5.28125,5.28125,5.21875,5.21875,1.5910723209381104,85600,ELS
1994-01-06,5.1875,5.1875,5.09375,5.109375,1.5577266216278076,324000,ELS
1994-01-07,5.125,5.140625,5.03125,5.0625,1.5434355735778809,304000,ELS
1994-01-10,5.03125,5.15625,5.03125,5.15625,1.5720164775848389,419200,ELS
1994-01-11,5.15625,5.171875,5.125,5.125,1.5624901056289673,100800,ELS
1994-01-12,5.15625,5.203125,5.15625,5.203125,1.5863088369369507,9600,ELS
1994-01-13,5.234375,5.375,5.234375,5.375,1.6387089490890503,12000,ELS
1994-01-14,5.375,5.421875,5.328125,5.359375,1.633945107460022,48000,ELS
1994-01-17,5.34375,5.359375,5.34375,5.359375,1.633945107460022,12800,ELS
1994-01-18,5.359375,5.375,5.3125,5.375,1.6387089490890503,85600,ELS
1994-01-19,5.34375,5.34375,5.3125,5.3125,1.6196556091308594,44800,ELS
1994-01-20,5.28125,5.28125,5.171875,5.21875,1.5910723209381104,488000,ELS
1994-01-21,5.234375,5.28125,5.21875,5.28125,1.610127329826355,22400,ELS
1994-01-24,5.28125,5.46875,5.28125,5.46875,1.6672910451889038,31200,ELS
1994-01-25,5.4375,5.453125,5.40625,5.4375,1.657763957977295,152000,ELS
1994-01-26,5.46875,5.5,5.46875,5.484375,1.6720551252365112,24000,ELS
1994-01-27,5.5,5.5,5.34375,5.375,1.6387089490890503,53600,ELS
1994-01-28,5.40625,5.46875,5.40625,5.46875,1.6672910451889038,31200,ELS
1994-01-31,5.484375,5.5,5.40625,5.40625,1.6482367515563965,187200,ELS
1994-02-01,5.375,5.453125,5.3125,5.453125,1.662528395652771,108800,ELS
1994-02-02,5.421875,5.453125,5.40625,5.453125,1.662528395652771,11200,ELS
1994-02-03,5.453125,5.453125,5.4375,5.4375,1.657763957977295,4800,ELS
1994-02-04,5.40625,5.4375,5.390625,5.4375,1.657763957977295,526400,ELS
1994-02-07,5.40625,5.40625,5.328125,5.375,1.6387089490890503,239200,ELS
1994-02-08,5.375,5.40625,5.375,5.390625,1.6434727907180786,14400,ELS
1994-02-09,5.390625,5.390625,5.390625,5.390625,1.6434727907180786,4000,ELS
1994-02-10,5.375,5.375,5.34375,5.34375,1.62918221950531,4800,ELS
1994-02-11,5.296875,5.296875,5.1875,5.21875,1.5910723209381104,495200,ELS
1994-02-14,5.21875,5.28125,5.21875,5.28125,1.610127329826355,23200,ELS
1994-02-15,5.28125,5.28125,5.265625,5.265625,1.605363130569458,210400,ELS
1994-02-16,5.265625,5.28125,5.265625,5.265625,1.605363130569458,5600,ELS
1994-02-17,5.28125,5.3125,5.28125,5.296875,1.6148903369903564,116000,ELS
1994-02-18,5.3125,5.3125,5.28125,5.28125,1.610127329826355,254400,ELS
1994-02-22,5.296875,5.296875,5.265625,5.265625,1.605363130569458,134400,ELS
1994-02-23,5.28125,5.4375,5.25,5.4375,1.657763957977295,95200,ELS
1994-02-24,5.4375,5.53125,5.4375,5.5,1.6768187284469604,110400,ELS
1994-02-25,5.515625,5.515625,5.484375,5.5,1.6768187284469604,64000,ELS
1994-02-28,5.484375,5.484375,5.4375,5.46875,1.6672910451889038,70400,ELS
1994-03-01,5.4375,5.46875,5.4375,5.453125,1.662528395652771,166400,ELS
1994-03-02,5.375,5.4375,5.296875,5.40625,1.6482367515563965,312800,ELS
1994-03-03,5.390625,5.4375,5.390625,5.4375,1.657763957977295,61600,ELS
1994-03-04,5.40625,5.5625,5.40625,5.5625,1.6958736181259155,337600,ELS
1994-03-07,5.5625,5.59375,5.546875,5.546875,1.6911100149154663,162400,ELS
1994-03-08,5.546875,5.546875,5.484375,5.515625,1.6815828084945679,30400,ELS
1994-03-09,5.515625,5.578125,5.5,5.546875,1.6911100149154663,43200,ELS
1994-03-10,5.578125,5.59375,5.578125,5.59375,1.7054015398025513,41600,ELS
1994-03-11,5.59375,5.59375,5.59375,5.59375,1.7054015398025513,14400,ELS
1994-03-14,5.59375,5.625,5.59375,5.625,1.7149285078048706,96000,ELS
1994-03-15,5.640625,5.65625,5.5,5.53125,1.6863459348678589,155200,ELS
1994-03-16,5.5,5.5,5.5,5.5,1.6768187284469604,9600,ELS
1994-03-17,5.5,5.5,5.453125,5.484375,1.6720551252365112,44000,ELS
1994-03-18,5.484375,5.484375,5.375,5.421875,1.6530003547668457,100800,ELS
1994-03-21,5.34375,5.375,5.3125,5.375,1.6595609188079834,72800,ELS
1994-03-22,5.359375,5.375,5.328125,5.375,1.6595609188079834,154400,ELS
1994-03-23,5.375,5.46875,5.359375,5.46875,1.6885074377059937,107200,ELS
1994-03-24,5.46875,5.484375,5.421875,5.4375,1.6788583993911743,115200,ELS
1994-03-25,5.53125,5.546875,5.5,5.515625,1.7029798030853271,230400,ELS
1994-03-28,5.515625,5.515625,5.4375,5.4375,1.6788583993911743,244000,ELS
1994-03-29,5.453125,5.453125,5.296875,5.390625,1.6643861532211304,255200,ELS
1994-03-30,5.375,5.375,5.3125,5.34375,1.6499130725860596,32000,ELS
1994-03-31,5.3125,5.3125,5.046875,5.171875,1.5968446731567383,148800,ELS
1994-04-04,5.140625,5.171875,5.109375,5.125,1.5823724269866943,48000,ELS
1994-04-05,5.15625,5.15625,5.046875,5.046875,1.5582513809204102,37600,ELS
1994-04-06,5.0625,5.1875,5.0625,5.1875,1.6016693115234375,497600,ELS
1994-04-07,5.15625,5.171875,5.125,5.171875,1.5968446731567383,92800,ELS
1994-04-08,5.1875,5.21875,5.1875,5.21875,1.6113179922103882,39200,ELS
1994-04-11,5.21875,5.265625,5.21875,5.265625,1.625791311264038,203200,ELS
1994-04-12,5.234375,5.28125,5.234375,5.28125,1.6306158304214478,370400,ELS
1994-04-13,5.28125,5.4375,5.28125,5.4375,1.6788583993911743,85600,ELS
1994-04-14,5.40625,5.40625,5.375,5.375,1.6595609188079834,48800,ELS
1994-04-15,5.359375,5.375,5.359375,5.375,1.6595609188079834,34400,ELS
1994-04-18,5.375,5.375,5.34375,5.34375,1.6499130725860596,111200,ELS
1994-04-19,5.359375,5.359375,5.34375,5.359375,1.6547377109527588,39200,ELS
1994-04-20,5.359375,5.359375,5.359375,5.359375,1.6547377109527588,24800,ELS
1994-04-21,5.359375,5.390625,5.359375,5.390625,1.6643861532211304,198400,ELS
1994-04-22,5.390625,5.5,5.390625,5.484375,1.6933306455612183,232800,ELS
1994-04-25,5.5,5.8125,5.5,5.8125,1.7946420907974243,44400,ELS
1994-04-26,5.8125,5.84375,5.71875,5.75,1.7753452062606812,112000,ELS
1994-04-28,5.75,5.8125,5.625,5.65625,1.746398687362671,90800,ELS
1994-04-29,5.59375,5.625,5.5625,5.59375,1.7271016836166382,5600,ELS
1994-05-02,5.59375,5.6875,5.5,5.59375,1.7271016836166382,61600,ELS
1994-05-03,5.625,5.65625,5.5,5.53125,1.7078042030334473,23200,ELS
1994-05-04,5.53125,5.59375,5.4375,5.59375,1.7271016836166382,81200,ELS
1994-05-05,5.65625,5.84375,5.65625,5.84375,1.8042906522750854,90400,ELS
1994-05-06,5.71875,5.875,5.71875,5.71875,1.7656959295272827,42800,ELS
1994-05-09,5.75,5.75,5.6875,5.75,1.7753452062606812,33600,ELS
1994-05-10,5.6875,5.78125,5.6875,5.75,1.7753452062606812,22400,ELS
1994-05-11,5.6875,5.75,5.625,5.625,1.7367497682571411,53600,ELS
1994-05-12,5.65625,5.75,5.65625,5.71875,1.7656959295272827,84000,ELS
1994-05-13,5.6875,5.75,5.6875,5.71875,1.7656959295272827,42800,ELS
1994-05-16,5.6875,5.71875,5.6875,5.71875,1.7656959295272827,95200,ELS
